Representative,State,District,Phone,Room,,
"Russell, Steve",OK,5th,225-2132,128,,
"Rutherford, John H.",FL,4th,225-2501,230,,
"Ryan, Paul D.",WI,1st,225-3031,1233,,
"Ryan, Tim",OH,13th,225-5261,1126,,
"Sablan, Gregorio Kilili Camacho",MP,Delegat,225-2646,2411,,
"Sánchez, Linda T.",CA,38th,225-6676,2329,,
"Sanford, Mark",SC,1st,225-3176,2211,,
"Sarbanes, John P.",MD,3d,225-4016,2444,,
"Scalise, Steve",LA,1st,225-3015,2338,,
"Schakowsky, Janice D.",IL,9th,225-2111,2367,,
"Schiff, Adam B.",CA,28th,225-4176,2372,,
"Schneider, Bradley Scott",IL,10th,225-4835,1432,,
"Schrader, Kurt",OR,5th,225-5711,2431,,
"Schweikert, David",AZ,6th,225-2190,2059,,
"Scott, Austin",GA,8th,225-6531,2417,,
"Scott, David",GA,13th,225-2939,225,,
"Scott, Robert C. ""Bobby""",VA,3d,225-8351,1201,,
"Sensenbrenner, F. James, Jr.",WI,5th,225-5101,2449,,
"Serrano, José E.",NY,15th,225-4361,2354,,
"Sessions, Pete",TX,32d,225-2231,2233,,
"Sewell, Terri A.",AL,7th,225-2665,2201,,
"Shea-Porter, Carol",NH,1st,225-5456,1530,,
"Sherman, Brad",CA,30th,225-5911,2181,,
"Shimkus, John",IL,15th,225-5271,2217,,
"Shuster, Bill",PA,9th,225-2431,2079,,
"Simpson, Michael K.",ID,2d,225-5531,2084,,
"Sinema, Kyrsten",AZ,9th,225-9888,1725,,
"Sires, Albio",NJ,8th,225-7919,2342,,
"Slaughter, Louise McIntosh",NY,25th,225-3615,2469,,
"Smith, Adam",WA,9th,225-8901,2264,,
"Smith, Adrian",NE,3d,225-6435,320,,
"Smith, Christopher H.",NJ,4th,225-3765,2373,,
"Smith, Jason",MO,8th,225-4404,1118,,
"Smith, Lamar",TX,21st,225-4236,2409,,
"Smucker, Lloyd",PA,16th,225-2411,516,,
"Soto, Darren",FL,9th,225-9889,1429,,
"Speier, Jackie",CA,14th,225-3531,2465,,
"Stefanik, Elise M.",NY,21st,225-4611,318,,
"Stewart, Chris",UT,2d,225-9730,323,,
"Stivers, Steve",OH,15th,225-2015,1022,,
"Suozzi, Thomas R.",NY,3d,225-3335,226,,
"Swalwell, Eric",CA,15th,225-5065,129,,
"Takano, Mark",CA,41st,225-2305,1507,,
"Taylor, Scott",VA,2d,225-4215,412,,
